; China eventmsg.txt																	   
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"因为 [leader_name] 确实对您感到非常满意"
PHRASE_city_appears_title 					"[city_name] 被发现!"
PHRASE_city_appears_initial_announcement 			"您好, [player_name], 探索者返回报告说他们发现了一个名叫 [city_name] 的地方."
PHRASE_city_appears_no_reason	  				"N/A"

PHRASE_CONDENSED_city_appears_title 			"N/A"
PHRASE_CONDENSED_city_appears_initial_announcement 	"一个名收 [city_name] 地方被发现了."
PHRASE_CONDENSED_city_appears_no_reason	  		"N/A"

;********City returns emissary
PHRASE_city_returns_emissary_title 					"[city_name] 拒绝您的使者进入"
PHRASE_city_returns_emissary_initial_announcement 		"真不幸, [player_name], 您派往 [city_name] 使者没有被允许进入他们的城市."
PHRASE_city_returns_emissary_no_reason	  			"N/A"

PHRASE_CONDENSED_city_returns_emissary_title 				"N/A"
PHRASE_CONDENSED_city_returns_emissary_initial_announcement 	"[city_name] 拒绝您的使者进入."
PHRASE_CONDENSED_city_returns_emissary_no_reason	  		"N/A"

;********City executes emissary
PHRASE_city_executes_emissary_title 					"[city_name] 野蛮地处决了您的使者!"
PHRASE_city_executes_emissary_initial_announcement 			"暴行! [player_name], 您派往 [city_name] 的使者被处决了!"
PHRASE_city_executes_emissary_no_reason	  				"N/A"

PHRASE_CONDENSED_city_executes_emissary_title 				"N/A"
PHRASE_CONDENSED_city_executes_emissary_initial_announcement 	"[city_name] 处决了您的使者!"
PHRASE_CONDENSED_city_executes_emissary_no_reason	  		"N/A"


;********City disappears****************************
PHRASE_city_disappears_title 							"[city_name] 消失"
PHRASE_city_disappears_initial_announcement 				"您好, [player_name]. [city_name] 不再存在了. 曾经是城市街道的地方现在是杂草丛生."
PHRASE_city_disappears_no_reason	  					"N/A"

PHRASE_CONDENSED_city_disappears_title 					"N/A"
PHRASE_CONDENSED_city_disappears_initial_announcement 		"[city_name] 消失不见了."
PHRASE_CONDENSED_city_disappears_no_reason	  			"N/A"

PHRASE_city_active_history							"开始与世界接触"
PHRASE_city_inactive_history							"终止所有与世界的接触"
PHRASE_city_appears_history							"   被发现"
PHRASE_city_returns_emissary_history					"拒绝您的使者进入"
PHRASE_city_executes_emissary_history					"处决了您的使者"
PHRASE_city_disappears_history						"逐渐消亡"

;**************** bad commodities *****************
PHRASE_iron_is_boring_title						"钢比铁好!"
PHRASE_iron_is_boring_text						"我们的工人们学会了如何炼钢! 钢制武器让我们在对抗野蛮人时具有优势!"
PHRASE_iron_is_boring_no_reason					"N/A"

PHRASE_CONDENSED_iron_is_boring_title				"钢代替铁!"
PHRASE_CONDENSED_iron_is_boring_text				"现在我们能够制造钢制武器!"
PHRASE_CONDENSED_iron_is_boring_no_reason				"N/A"

PHRASE_bronzeware_is_boring_title					"漆器代替铜器!"
PHRASE_bronzeware_is_boring_text					"这些日子以来, 人们对精美的漆器的需求远远超过了对铜器需求 (可能因为漆器更便于搬动运输!). 因此, 所有的铜器生产都终止了."
PHRASE_bronzeware_is_boring_no_reason				"N/A"

PHRASE_CONDENSED_bronzeware_is_boring_title			"可以制造漆器了!"
PHRASE_CONDENSED_bronzeware_is_boring_text			"精美的漆器代替铜器."
PHRASE_CONDENSED_bronzeware_is_boring_no_reason			"N/A"


;***************************God player city Invasion Trade interruption ends*********************************************
;*********************Zeus invasion ends
																			
;*********************Poseidon invasion ends								
																			
;*********************Hermes invasion ends									

;************************Monument construction complete***************************

;*******************Great Temple complete		
PHRASE_great_temple_complete_title						"大寺庙建成"
PHRASE_great_temple_complete_initial_announcement			"大寺庙现在建成了, 它会让创造女神女娲欣喜万分, 同样城中的居民也非常高兴."
PHRASE_great_temple_complete_no_reason					"N/A"

PHRASE_CONDENSED_great_temple_complete_title				"N/A"
PHRASE_CONDENSED_great_temple_complete_initial_announcement		"大寺庙建成."
PHRASE_CONDENSED_great_temple_complete_no_reason			"N/A"

;*******************Splendid Temple complete		
PHRASE_splendid_temple_complete_title					"辉煌的寺庙建成"
PHRASE_splendid_temple_complete_initial_announcement			"现在辉煌的寺庙建成了, 它会让神农高兴无比, 同样城中的居民也非常高兴."
PHRASE_splendid_temple_complete_no_reason					"N/A"

PHRASE_CONDENSED_splendid_temple_complete_title				"N/A"
PHRASE_CONDENSED_splendid_temple_complete_initial_announcement	"辉煌的寺庙建成了."
PHRASE_CONDENSED_splendid_temple_complete_no_reason			"N/A"

;*******************Temple Complex complete		
PHRASE_temple_complex_complete_title					"综合寺庙建成"
PHRASE_temple_complex_complete_initial_announcement			"这时的确是非常快乐的时刻! 最协调的综合寺庙已经建成. 创造女神女娲会记住您的, 因为这是伟大的成就."
PHRASE_temple_complex_complete_no_reason					"N/A"

PHRASE_CONDENSED_temple_complex_complete_title				"N/A"
PHRASE_CONDENSED_temple_complex_complete_initial_announcement	"综合寺庙建成."
PHRASE_CONDENSED_temple_complex_complete_no_reason			"N/A"

;*******************Grand Temple Complex complete		
PHRASE_grand_temple_complex_complete_title				"雄伟的综合寺庙建成"
PHRASE_grand_temple_complex_complete_initial_announcement		"上天称赞着现在的中国人! 您已经建成了雄伟的综合寺庙, 这是一件真正巨大的工作. 神农会非常高兴的!"
PHRASE_grand_temple_complex_complete_no_reason				"N/A"
	
PHRASE_CONDENSED_grand_temple_complex_complete_title				"N/A"
PHRASE_CONDENSED_grand_temple_complex_complete_initial_announcement	"雄伟的综合寺庙建成."
PHRASE_CONDENSED_grand_temple_complex_complete_no_reason			"N/A"

;*******************Tumulus complete		
PHRASE_tumulus_complete_title							"陵墓建成"
PHRASE_tumulus_complete_initial_announcement				"安全保护您祖先的遗体的陵墓建成了. 女娲看到了您虔敬的对待祖先的真心."
PHRASE_tumulus_complete_no_reason						"N/A"

PHRASE_CONDENSED_tumulus_complete_title					"N/A"
PHRASE_CONDENSED_tumulus_complete_initial_announcement		"陵墓建成."
PHRASE_CONDENSED_tumulus_complete_no_reason				"N/A"

;*******************Grand Tumulus complete		
PHRASE_grand_tumulus_complete_title						"大陵墓建成"
PHRASE_grand_tumulus_complete_initial_announcement			"安全保护您祖先遗体的大陵墓建成了. 神农看到了您虔诚的对待祖先的真心."
PHRASE_grand_tumulus_complete_no_reason					"N/A"

PHRASE_CONDENSED_grand_tumulus_complete_title				"N/A"
PHRASE_CONDENSED_grand_tumulus_complete_initial_announcement	"大陵墓建成."
PHRASE_CONDENSED_grand_tumulus_complete_no_reason			"N/A"

;*******************Large Palace complete		
PHRASE_large_palace_complete_title						"宏大的宫殿建成"
PHRASE_large_palace_complete_initial_announcement			"黄帝不可能比今天更高兴了, 因为您建成了宏大的宫殿. 由于这座美丽的建筑物, 您将从您的人民那里得到极大的尊重."
PHRASE_large_palace_complete_no_reason					"N/A"

PHRASE_CONDENSED_large_palace_complete_title				"N/A"
PHRASE_CONDENSED_large_palace_complete_initial_announcement		"宏大的宫殿建成."
PHRASE_CONDENSED_large_palace_complete_no_reason			"N/A"

;*******************Underground Vault complete		
PHRASE_underground_vault_complete_title					"地下墓室建成"
PHRASE_underground_vault_complete_initial_announcement		"皇帝非常满意他的保卫地下墓室的军队和壮丽的陵墓, 他的财富可以安全的放在墓室内不会被盗. 我建议您, 在他想起您对这个建筑物知道太多而要除掉您之前告老还乡."
PHRASE_underground_vault_complete_no_reason				"N/A"

PHRASE_CONDENSED_underground_vault_complete_title				"N/A"
PHRASE_CONDENSED_underground_vault_complete_initial_announcement		"地下墓室建成."
PHRASE_CONDENSED_underground_vault_complete_no_reason				"N/A"

;*******************Grand Canal complete		
PHRASE_grand_canal_complete_title					"大运河建成"
PHRASE_grand_canal_complete_initial_announcement		"大运河建成了! 创造女神女娲都不可能挖出一条比这更好的渠来. 做得好!"
PHRASE_grand_canal_complete_no_reason				"N/A"

PHRASE_CONDENSED_grand_canal_complete_title			"N/A"
PHRASE_CONDENSED_grand_canal_complete_initial_announcement	"大运河现在建成了."
PHRASE_CONDENSED_grand_canal_complete_no_reason			"N/A"

;*******************Great Wall complete		
PHRASE_great_wall_complete_title					"长城建成"
PHRASE_great_wall_complete_initial_announcement			"您在敌人只能在长城外愤怒的嚎叫, 因为长城把他们挡在中原腹地之个."
PHRASE_great_wall_complete_no_reason				"N/A"

PHRASE_CONDENSED_great_wall_complete_title				"N/A"
PHRASE_CONDENSED_great_wall_complete_initial_announcement		"长城建成了."
PHRASE_CONDENSED_great_wall_complete_no_reason				"N/A"

;*******************Clock Tower complete		
PHRASE_clock_tower_complete_title					"钟楼建成"
PHRASE_clock_tower_complete_initial_announcement		"您建造的是一座多么奇异的工程学建筑啊! 这个天文钟楼会把我们引入宇宙时代, 并且对历法报告有极大的帮助."
PHRASE_clock_tower_complete_no_reason				"N/A"
	
PHRASE_CONDENSED_clock_tower_complete_title			"N/A"
PHRASE_CONDENSED_clock_tower_complete_initial_announcement	"钟楼建成了."
PHRASE_CONDENSED_clock_tower_complete_no_reason			"N/A"

;*******************Grand Pagoda complete		
PHRASE_grand_pagoda_complete_title					"雄伟的宝塔建成"
PHRASE_grand_pagoda_complete_initial_announcement		"雄伟的宝塔建成后, 对佛教的崇拜会在全国传播开来."
PHRASE_grand_pagoda_complete_no_reason				"N/A"

PHRASE_CONDENSED_grand_pagoda_complete_title			"N/A"
PHRASE_CONDENSED_grand_pagoda_complete_initial_announcement	"雄伟的宝塔建成了."
PHRASE_CONDENSED_grand_pagoda_complete_no_reason		"N/A"


//*******************Gorgar Has Stopped Importing
PHRASE_gorgar_has_stopped_importing_title					"贸易消息!"
PHRASE_gorgar_has_stopped_importing_initial_announcement		"令人不安的消息, 大人. 贸易大臣报告说 [leader_name] 已经停止从我的城市进口商品!"
PHRASE_gorgar_has_stopped_importing_no_reason				"N/A"

PHRASE_CONDENSED_gorgar_has_stopped_importing_title				"贸易消息!"
PHRASE_CONDENSED_gorgar_has_stopped_importing_initial_announcement	"[leader_name] 已经停止进口"
PHRASE_CONDENSED_gorgar_has_stopped_importing_no_reason			"N/A"

;*******************Gorgar Has Stopped Exporting
PHRASE_gorgar_has_stopped_exporting_title					"贸易消息!"
PHRASE_gorgar_has_stopped_exporting_initial_announcement		"恼人的消息, 最高贵的统治者. 贸易大臣报告说 [leader_name] 已经停止向我们出口商品!"
PHRASE_gorgar_has_stopped_exporting_no_reason				"N/A"

PHRASE_CONDENSED_gorgar_has_stopped_exporting_title				"贸易消息!"
PHRASE_CONDENSED_gorgar_has_stopped_exporting_initial_announcement	"[leader_name] 已经停止出口"
PHRASE_CONDENSED_gorgar_has_stopped_exporting_no_reason			"N/A"

;*******************Gorgar Has Started Importing
PHRASE_gorgar_has_started_importing_title					"贸易消息!"
PHRASE_gorgar_has_started_importing_initial_announcement		"可喜的消息! [leader_name] 希望从我们的城市进口新商品. 或许您应该设定一个对我们有利的出口价格."
PHRASE_gorgar_has_started_importing_no_reason				"N/A"

PHRASE_CONDENSED_gorgar_has_started_importing_title				"贸易消息!"
PHRASE_CONDENSED_gorgar_has_started_importing_initial_announcement	"[leader_name] 已经开始进口"
PHRASE_CONDENSED_gorgar_has_started_importing_no_reason			"N/A"

;*******************Gorgar Has Started Exporting
PHRASE_gorgar_has_started_exporting_title					"贸易消息!"
PHRASE_gorgar_has_started_exporting_initial_announcement		"贸易大臣报告说 [leader_name] 希望向我们出口新商品."
PHRASE_gorgar_has_started_exporting_no_reason				"N/A"

PHRASE_CONDENSED_gorgar_has_started_exporting_title				"贸易消息!"
PHRASE_CONDENSED_gorgar_has_started_exporting_initial_announcement	"[leader_name] 已经开始出口"
PHRASE_CONDENSED_gorgar_has_started_exporting_no_reason			"N/A"



;*****************Player's Tribute payment received by non-player city on time (not early)
PHRASE_tribute_received_title 					"[city_name] 告知收到贡品"
PHRASE_tribute_received_initial_announcement 			"我, [city_name] 的 [leader_name], 您的领主, 已经收到您的贡品. 这是狗向猛虎称臣."
PHRASE_tribute_received_reason	  				"N/A"
PHRASE_tribute_received_no_reason	  				"N/A"

PHRASE_CONDENSED_tribute_received_title 				"N/A"
PHRASE_CONDENSED_tribute_received_initial_announcement 	"[city_name] 告知收到贡品."
PHRASE_CONDENSED_tribute_received_reason	  			"N/A"
PHRASE_CONDENSED_tribute_received_no_reason	  		"N/A"


;********************TONE VARIATIONS WHEN COMPLIANCE WITH CASH REQUEST POSSIBLE
PHRASE_got_enough_shu_S_title 					"给 [city_name] 的钱准备好了"
PHRASE_got_enough_shu_S_initial_announcement 			"值得尊敬的 [player_name], 您的金库里的钱足够多了, 现在可以满足您的同盟 [city_name] 的 [leader_name] 提出的要求了."
PHRASE_got_enough_shu_S_no_reason	  				"N/A"

PHRASE_CONDENSED_got_enough_shu_S_title 				"N/A"
PHRASE_CONDENSED_got_enough_shu_S_initial_announcement 	"您有足够的钱来满足 [city_name] 的要求."
PHRASE_CONDENSED_got_enough_shu_S_no_reason	  		"N/A"

PHRASE_got_enough_shu_D_title 					"[city_name] 索要的现金已经准备好"
PHRASE_got_enough_shu_D_initial_announcement 			"高贵的 [player_name], 现在您有足够的现金, 可以满足对手 [city_name] 的 [leader_name] 的要求了."
PHRASE_got_enough_shu_D_no_reason	  				"N/A"

PHRASE_CONDENSED_got_enough_shu_D_title 				"N/A"
PHRASE_CONDENSED_got_enough_shu_D_initial_announcement 	"您有足够的钱来满足 [city_name] 的要求."
PHRASE_CONDENSED_got_enough_shu_D_no_reason	  		"N/A"

PHRASE_got_enough_shu_P_title 					"给 [city_name] 的钱准备好了"
PHRASE_got_enough_shu_P_initial_announcement 			"善良的 [player_name], 现在您有足够的钱, 可以满足您的诸候 [city_name] 的 [leader_name] 提出的乞求了."
PHRASE_got_enough_shu_P_no_reason	  				"N/A"

PHRASE_CONDENSED_got_enough_shu_P_title 				"N/A"
PHRASE_CONDENSED_got_enough_shu_P_initial_announcement 	"您有足够的现金回应 [city_name] 的乞求."
PHRASE_CONDENSED_got_enough_shu_P_no_reason	  		"N/A"


;********************TONE VARIATIONS WHEN COMPLIANCE WITH GOODS REQUEST POSSIBLE
;*******************Formerly	MESS_GOT_GOODS_STOCKS,				//314 
PHRASE_got_goods_stocks_S_title 					"[itemshort] 已准备好可以送去 [city_name]"
PHRASE_got_goods_stocks_S_initial_announcement 			"高贵的 [player_name], 现在您可满足未完成的 [city_name] 的 [leader_name] 要求的 [itemshort]."
PHRASE_got_goods_stocks_S_no_reason	  				"N/A"

PHRASE_CONDENSED_got_goods_stocks_S_title 			"N/A"
PHRASE_CONDENSED_got_goods_stocks_S_initial_announcement 	"您的足够的 [itemshort] 可以送去 [city_name]."
PHRASE_CONDENSED_got_goods_stocks_S_no_reason	  		"N/A"

PHRASE_got_goods_stocks_D_title 					"[itemshort] 已准备好可以送去 [city_name]"
PHRASE_got_goods_stocks_D_initial_announcement 			"值得尊敬的 [player_name], 现在您有足够的 [itemshort] 储备, 可以满足 [city_name] 的 [leader_name] 索要的数量了."
PHRASE_got_goods_stocks_D_no_reason	  				"N/A"

PHRASE_CONDENSED_got_goods_stocks_D_title 			"N/A"
PHRASE_CONDENSED_got_goods_stocks_D_initial_announcement 	"您的足够的 [itemshort] 可以送去 [city_name]."
PHRASE_CONDENSED_got_goods_stocks_D_no_reason	  		"N/A"

PHRASE_got_goods_stocks_P_title 					"[itemshort] 已准备好可以送去 [city_name]"
PHRASE_got_goods_stocks_P_initial_announcement 			"英勇的 [player_name], 现在您有足够的 [itemshort] 储备, 可是回应 [city_name] 的 [leader_name] 的乞求了."
PHRASE_got_goods_stocks_P_no_reason	  				"N/A"

PHRASE_CONDENSED_got_goods_stocks_P_title 			"N/A"
PHRASE_CONDENSED_got_goods_stocks_P_initial_announcement 	"您的足够的 [itemshort] 可以送去 [city_name]."
PHRASE_CONDENSED_got_goods_stocks_P_no_reason	  		"N/A"


;********Invasion****************************************
PHRASE_invasion_lastchance_title 					"[city_name] 想要消灭我们!"
PHRASE_invasion_lastchance_spy_report				"[greeting] [player_name]. 密探潜入了 [city_name] 的 [a_foreign_army] 队伍中. 敌人将在一年内对我们的城市发动进攻... 如果敌人胜利了, 您的城市就不复存在了."
PHRASE_invasion_lastchance_initial_announcement	    		"恐怖啊, [player_name], [reason_phrase] [city_name] 的领导者 [leader_name] 带领的 [a_foreign_army] 正在接近, 他们将在 [time_until_attack] 个月后进攻我们的城市.  如果您战败了, 那就永远不可能东山再起了."
PHRASE_invasion_lastchance_6month_notleft_warning 			"[greeting] [player_name], 就在六个月后, 来自 [city_name] 的 [a_foreign_army] 将到达并进攻您的城市.  一定要准备应战, 因为如果您败了, 您就不能再管理这个城市了."
PHRASE_invasion_lastchance_6month_warning 			"[greeting] [player_name], 就在六个月后, 来自 [city_name] 的 [a_foreign_army] 将到达并进攻您的城市.  一定要准备应战, 因为如果您败了, 您就不能再管理这个城市了."
PHRASE_invasion_lastchance_2month_warning 			"[greeting] [player_name], 就在两个月后, 来自 [city_name] 的 [a_foreign_army] 将到达并进攻您的城市.  一定要准备应战, 因为如果您败了, 您就不能再管理这个城市了."
PHRASE_invasion_lastchance_1month_Warning 			"[greeting] [player_name], 准备的时间已经过去了.  一个月后, [reason_phrase] [city_name] 的 [a_foreign_army] 将到达这里, 目的就是征服您的城市. 您必须打败他们, 否则 [leader_name] 就会永远接管您的城市!"
PHRASE_invasion_lastchance_city_attacked_alert  		"[greeting] [player_name], [city_name] 的 [a_foreign_army] 迫近了, 他们要征服我们的城市! 您必须打胜仗, 因为如果您败了, 您就永远失败了!"
PHRASE_invasion_lastchance_reason  	 	 		    	"由于您的城市受到了来自 [city_name] 的 [a_foreign_army] 的攻击"
PHRASE_invasion_lastchance_no_reason	  	 		"由于您的生肖动物冒犯了他们"
PHRASE_invasion_lastchance_disembarked_alert  	    		"[greeting] [player_name], [city_name] 的 [a_foreign_army] 已经在您的岸边登陆并开始进攻.  但愿您的士兵有黄帝的勇气抵挡住敌人进攻."
PHRASE_invasion_lastchance_1month_Warning_AC			"[greeting] [player_name], 准备的时间已经过去了. 一个月后, [city_name] 的 [a_foreign_army] 将到达征服您的城市, [reason_phrase]. 您训练有素的指挥官会帮您处理这些战术决策问题."

PHRASE_CONDENSED_invasion_lastchance_title 			"N/A"
PHRASE_CONDENSED_invasion_lastchance_spy_report			"密探报告 [a_foreign_army] 将在一年内接近您的城市."
PHRASE_CONDENSED_invasion_lastchance_initial_announcement	"[time_until_attack] 个月后 [a_foreign_army] 将努力消灭您."
PHRASE_CONDENSED_invasion_lastchance_6month_notleft_warning 		"六个月后 [a_foreign_army] 将会进攻, 目的是永远驱逐您!"
PHRASE_CONDENSED_invasion_lastchance_6month_warning 		"六个月后 [a_foreign_army] 将会进攻, 目的是永远驱逐您!"
PHRASE_CONDENSED_invasion_lastchance_2month_warning 		"[a_foreign_army] 将在两个月后进攻, 目的是永远驱逐您!"
PHRASE_CONDENSED_invasion_lastchance_1month_Warning 		"[a_foreign_army] 将在一个月后进攻, 目的是永远驱逐您!"
PHRASE_CONDENSED_invasion_lastchance_city_attacked_alert  	"[a_foreign_army] 现在就在我们的土地上, 目的是永远驱逐您!"
PHRASE_CONDENSED_invasion_lastchance_reason  	 	 	"由于 [a_foreign_army] 进攻了您"
PHRASE_CONDENSED_invasion_lastchance_no_reason  	 	""
PHRASE_CONDENSED_invasion_lastchance_disembarked_alert  	"[a_foreign_army] 已经登陆, 目的是永远驱逐您!"
PHRASE_CONDENSED_invasion_lastchance_1month_Warning_AC	"将军等待 [a_foreign_army] 一个月后到达."


; 1A *****************ARMY RETURNS FROM ALLY/VASSAL ATTACKS RIVAL TROOP REQUEST		//287 
PHRASE_legion_returns_city_attacks_rival_bad_title 					"战败的战士返回"
PHRASE_legion_returns_city_attacks_rival_bad_initial_announcement 		"哦伟大的 [player_name], [reason_phrase] 我们的一些战士垂头丧气的从 [rival_city_name] 战场返回. 虽然他们尽力帮助 [city_name] 的 [leader_name] 征服敌人, 但他们还是打了败仗."
PHRASE_legion_returns_city_attacks_rival_bad_no_reason	  			""

PHRASE_CONDENSED_legion_returns_city_attacks_rival_bad_title 			"N/A"
PHRASE_CONDENSED_legion_returns_city_attacks_rival_bad_initial_announcement 	"[city_name] 进攻 [rival_city_name] 的行动失败. 战败的士兵回来了."
PHRASE_CONDENSED_legion_returns_city_attacks_rival_bad_no_reason	  		"N/A"

;1B******************
PHRASE_legion_returns_city_attacks_rival_good_title 					"胜利的战士返回!"
PHRASE_legion_returns_city_attacks_rival_good_initial_announcement 		"享有声誉的 [player_name], 整个城市里都回响着您的士兵们高兴的叫喊声! 他们已经从 [rival_city_name] 的战场载誉而归. 他们大声谈话, 与 [city_name] 的士兵共同分享胜利的喜悦!"
PHRASE_legion_returns_city_attacks_rival_good_no_reason	  			"N/A"

PHRASE_CONDENSED_legion_returns_city_attacks_rival_good_title 			"N/A"
PHRASE_CONDENSED_legion_returns_city_attacks_rival_good_initial_announcement 	"胜利的战士返回."
PHRASE_CONDENSED_legion_returns_city_attacks_rival_good_no_reason	  		"N/A"


;2A*********ARMY RETURNS FROM PLAYER INITIATED ATTACK
PHRASE_legion_returns_player_action_bad_title 					"战败的战士返回"
PHRASE_legion_returns_player_action_bad_initial_announcement 		"哦伟大的 [player_name], 我们的战士袭击 [city_name] 的行动失败了, 现在他们回来了, 希望在未来能有机会弥补今天的失败."
PHRASE_legion_returns_player_action_bad_no_reason	  			""

PHRASE_CONDENSED_legion_returns_player_action_bad_title 				"N/A"
PHRASE_CONDENSED_legion_returns_player_action_bad_initial_announcement 		"战败的战士从 [city_name] 返回."
PHRASE_CONDENSED_legion_returns_player_action_bad_no_reason	  			"N/A"

;2B****************   		
PHRASE_legion_returns_player_action_good_title 						"胜利的战士返回!"
PHRASE_legion_returns_player_action_good_initial_announcement 			"享有声誉的 [player_name], 我们勇敢的战士们已经从 [city_name] 得胜而归!"
PHRASE_legion_returns_player_action_good_no_reason	  				"N/A"

PHRASE_CONDENSED_legion_returns_player_action_good_title 				"N/A"
PHRASE_CONDENSED_legion_returns_player_action_good_initial_announcement 	"您的士兵已经从 [city_name] 得胜而归."
PHRASE_CONDENSED_legion_returns_player_action_good_no_reason	  		"N/A"

; USED WHEN PLAYER'S CITY IS SAVED VIA BRIBERY
;**************Player's city saved BY BRIBERY ***********
PHRASE_players_city_saved_bribery_title 						"入侵者得到了现金!"
PHRASE_players_city_saved_bribery_initial_announcement 			"现在是该庆祝的时刻, [player_name]! [city_name] 的 [nationality] 军队不是败于军事, 而败于他们自己的贪婪. 我们的城市没有受到任何损害, 因而您送给 [nationality] 军队现金是值得的!"
PHRASE_players_city_saved_bribery_no_reason	  				"N/A"

PHRASE_CONDENSED_players_city_saved_bribery_title 				"N/A"
PHRASE_CONDENSED_players_city_saved_bribery_initial_announcement 		"入侵者得到了现金!"
PHRASE_CONDENSED_players_city_saved_bribery_no_reason	  			"N/A"

;**************Strike successful***********       
PHRASE_strike_successful_title 						"攻击 [rival_city_name] 的行动胜利了"
PHRASE_strike_successful_initial_announcement 				"最高贵的 [player_name], 我, [city_name] 的 [leader_name], 十分高兴地向您报告您命令进攻 [rival_city_name], 我们取得了胜利! 我们士兵们正在庆祝, [rival_city_name] 的人感惭愧并向您屈服."
PHRASE_strike_successful_no_reason	  					"N/A"

PHRASE_CONDENSED_strike_successful_title 					"N/A"
PHRASE_CONDENSED_strike_successful_initial_announcement 		"攻击 [rival_city_name] 的行动胜利了!"
PHRASE_CONDENSED_strike_successful_no_reason	  			"N/A"


;**********ADDITIONAL HISTORY PHRASES FOR LOST BATTLE IN TROOP REQUESTS***********************
PHRASE_ally_under_attack_lost_battle_history_S		    	"您的军队太弱了不能帮助 [city_affected]"
PHRASE_vassal_under_attack_lost_battle_history_P		"您的军队太弱了不能保卫 [city_affected]"
PHRASE_ally_attacks_rival_lost_battle_history_S		     	"您的军队太弱了不能帮助 [city_affected]"
PHRASE_vassal_attacks_rival_lost_battle_history_P		"您的军队太弱了不能帮助 [city_affected]"
PHRASE_ally_terrorized_lost_battle_history			"您的军队太弱了不能保卫 [city_affected]"

PHRASE_vassal_terrorized_lost_battle_history			"您军队不能保卫 [city_affected]"
PHRASE_ally_conquers_rival_history                      	"被您的同盟征服"   
PHRASE_vassal_conquers_rival_history                    	"被您的诸候征服" 
PHRASE_strike_successful_history 					"为了您的利益而被征服"

PHRASE_rival_under_attack_lost_battle_history_D		    	"您的军队太弱了不能帮助 [city_affected]"
PHRASE_rival_attacks_rival_lost_battle_history_D		     	"您的军队太弱了不能帮助 [city_affected]"

;************ More Multiplayer Troop Request Situations ********
PHRASE_Support_Met_With_Cataclysm_Title				"支援部队被派遣回家"
PHRASE_Support_Met_With_Cataclysm_Text				"您的部队到达城市的城门时只发现城市处于可怕的灾难混乱当中. 部队没有战斗就被派遣回家!"
PHRASE_Support_Met_With_Cataclysm_Reason				"城市剧变"

PHRASE_CONDENSED_Support_Met_With_Cataclysm_Title		"支援部队被派遣回家"
PHRASE_CONDENSED_Support_Met_With_Cataclysm_Text		"您的部队到达城市的城门时只发现城市处于可怕的灾难混乱当中.  部队没有战斗就被派遣回家!"
PHRASE_CONDENSED_Support_Met_With_Cataclysm_Reason		"城市剧变"

;******************** Our support not needed - bribe ********************
PHRASE_legion_returns_player_action_useless_title 				"徒劳无功的战士返回!"
PHRASE_legion_returns_player_action_bribe_initial_announcement 		"[player_name], 我们派兵去支援 [city_name] 的行为真是可笑! 他们贿赂了入侵者."
PHRASE_legion_returns_player_action_surrender_initial_announcement 	"[player_name], 我们派兵去支援 [city_name] 的行为真是可笑! 他们向入侵者投降了."
PHRASE_legion_returns_player_action_useless_no_reason	  			"N/A"

PHRASE_CONDENSED_legion_returns_player_action_useless_title 			"N/A"
PHRASE_CONDENSED_legion_returns_player_action_bribe_initial_announcement 	"防御部队贿赂了入侵者"
PHRASE_CONDENSED_legion_returns_player_action_surrender_initial_announcement 	"防御部队投降了"
PHRASE_CONDENSED_legion_returns_player_action_useless_no_reason	  		"N/A"

;******************* Returning with Plunder
PHRASE_troops_plunder_title 					"战利品!"
PHRASE_troops_plunder_text					"最称职的 [player_name], 您的士兵已经战场带着 [amount] 份战利返回!"
PHRASE_troops_plunder_no_reason		  		"N/A"

PHRASE_CONDENSED_troops_plunder_title 			"战利品"
PHRASE_CONDENSED_troops_plunder_text		 	"您的士兵已经带着战利品返回"
PHRASE_CONDENSED_troops_plunder_no_reason  		"N/A"

;******************* Evil Bastard Ben is Attacking Me!
PHRASE_friend_whines_about_ben_title				"必须制止他们!"
PHRASE_friend_whines_about_ben_text					"善良的 [player_name], 恶毒的 [leader_name] 已经向我们发动了一次进攻!  我们知道您不能及时派兵来支援我们, 但是如果您进攻 [city_name], 或许还能为我们报仇!"
PHRASE_friend_whines_about_ben_reason				"N/A"

PHRASE_CONDENSED_friend_whines_about_ben_title			"必须制止他们!"
PHRASE_CONDENSED_friend_whines_about_ben_text			"请反攻我们的敌人!"
PHRASE_CONDENSED_friend_whines_about_ben_reason			"N/A"

;******************** Overlord is fickle ********************
PHRASE_overlord_is_fickle_title					"领主变化无常!"
PHRASE_overlord_is_fickle_text					"卑劣的 [leader_name] 已经改变了我们的贡品!"
PHRASE_overlord_is_fickle_reason					"变化无常"

PHRASE_CONDENSED_overlord_is_fickle_title				"领主变化无常"
PHRASE_CONDENSED_overlord_is_fickle_text				"我们的贡品已经变了!"
PHRASE_CONDENSED_overlord_is_fickle_reason			"变化无常"

;******************* Please Defend Me ********************
PHRASE_request_troops_title_Overlord					"[city_nameA] 要求派部队"
